rank,school,school_url,school_id,district,district_url,district_id,address,city,city_url,zip,county,phone,low_grade,high_grade,is_title_i,is_charter,is_magnet,is_virtual,number_students,number_full-time_teachers,student_teacher_ratio,pct_free/disc_lunch,pct_african_american,pct_american_indian,pct_asian,pct_hispanic,pct_pacific_islander,pct_two_or_more_races,pct_white,average_standard_score_(2020-21),average_standard_score_(2018-19),rank_(2018-19),rank_change_from_(2018-19),schooldigger_star_rating
182,Antelope Trails Elementary School,https://www.schooldigger.com/go/CO/schools/0192000123/school.aspx,"""0192000123""",Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,"""01920""",15280 Jessie Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80921,El Paso County,(719) 234-4100,PK,05,No,No,No,No,337,23.6,14.2,11.9,3.3,0.9,4.2,10.7,0,5.3,75.7,76,73.8,221,39,4
183,Bacon Elementary School,https://www.schooldigger.com/go/CO/schools/0399001973/school.aspx,"""0399001973""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",5844 South Timberline Road,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80528,Larimer County,(970) 488-5300,PK,05,No,No,No,No,595,35.3,16.8,21.2,1,0.3,4.2,12.1,0,2.2,80.2,75.9,82,145,-38,4
184,Meadowlark School,https://www.schooldigger.com/go/CO/schools/0249006716/school.aspx,"""0249006716""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",2300 Sweet Meadow Lane,Erie,https://www.schooldigger.com/go/CO/city/Erie/search.aspx,80516,Boulder County,(720) 561-5104,PK,08,No,No,No,No,680,36.3,18.6,8.7,0.9,0.1,7.6,11,0.1,8.4,71.8,75.8,67,295,111,4
185,Dakota Valley Elementary School,https://www.schooldigger.com/go/CO/schools/0291001671/school.aspx,"""0291001671""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",3950 South Kirk Way,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80013,Arapahoe County,(720) 886-3000,PK,05,No,No,No,No,545,33.2,16.3,22,6.1,0.4,9.2,18.7,0.2,10.8,54.7,75.8,43.6,508,323,4
186,Olander Elementary School,https://www.schooldigger.com/go/CO/schools/0399006161/school.aspx,"""0399006161""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",3401 Auntie Stone Street,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80526,Larimer County,(970) 488-8410,PK,05,No,No,No,No,433,28.4,15.2,37.9,2.1,0.5,0.5,20.8,0.2,2.8,73.2,75.8,76,197,11,4
187,Coronado Elementary School,https://www.schooldigger.com/go/CO/schools/0480001447/school.aspx,"""0480001447""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",7922 South Carr,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80128,Jefferson County,(303) 982-3737,PK,05,No,No,No,No,498,27.2,18.2,18.3,0.4,0,1.8,14.1,0.2,4.2,79.3,75.7,72,242,55,4
188,Riffenburgh Elementary School,https://www.schooldigger.com/go/CO/schools/0399000544/school.aspx,"""0399000544""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",1320 East Stuart Street,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 488-7935,KG,05,No,No,No,No,557,32,17.4,25.9,0.9,0.5,2.9,15.1,0,5.6,75,75.7,78.6,177,-11,4
189,Lincoln Elementary School,https://www.schooldigger.com/go/CO/schools/0336000375/school.aspx,"""0336000375""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",710 South Pennsylvania Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80209,Denver County,(720) 424-5990,PK,06,No,No,No,No,344,18.8,18.2,17.7,5.8,0,0.9,16,0,6.1,71.2,75.5,71.2,248,59,4
190,Skyview Academy,https://www.schooldigger.com/go/CO/schools/0345006455/school.aspx,"""0345006455""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",6161 Business Center Drive,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80124,Douglas County,(303) 471-8439,PK,12,No,Yes,No,No,1292,82.8,15.5,6.3,0.9,0.4,19.6,11.1,0.2,6.9,61.1,75.4,83.9,127,-63,4
191,Fox Hollow Elementary School,https://www.schooldigger.com/go/CO/schools/0291001710/school.aspx,"""0291001710""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",6363 South Waco Street,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80116,Arapahoe County,(720) 886-8700,PK,05,No,No,No,No,657,38.7,16.9,18,7,0.6,13.9,14.6,0,6.8,57.1,75.3,66.9,296,105,4
192,Franktown Elementary School,https://www.schooldigger.com/go/CO/schools/0345003172/school.aspx,"""0345003172""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",1384 North State Highway 83,Franktown,https://www.schooldigger.com/go/CO/city/Franktown/search.aspx,80116,Douglas County,(303) 387-5300,PK,05,No,No,No,No,364,22.2,16.3,7.7,1.9,0,0,6.3,0,4.7,87.1,75.3,74.5,212,20,4
193,Ridgeview Classical Charter Schools,https://www.schooldigger.com/go/CO/schools/0399001717/school.aspx,"""0399001717""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",1800 South Lemay Avenue,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 494-4620,KG,12,No,Yes,No,No,690,46.2,14.9,8.7,0.9,0.3,4.1,9.7,0.4,4.9,79.7,75.3,85,116,-77,4
194,High Plains Elementary School,https://www.schooldigger.com/go/CO/schools/0291001273/school.aspx,"""0291001273""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",6100 South Fulton Street,Greenwood Village,https://www.schooldigger.com/go/CO/city/Greenwood+Village/search.aspx,80111,Arapahoe County,(720) 554-3600,PK,05,No,No,No,No,566,37.1,15.2,16.6,1.9,0.4,11.8,16.4,0.2,6.9,62.4,75.2,81.8,148,-46,4
195,Pioneer Elementary School,https://www.schooldigger.com/go/CO/schools/0345001583/school.aspx,"""0345001583""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",10881 Riva Ridge Street,Parker,https://www.schooldigger.com/go/CO/city/Parker/search.aspx,80138,Douglas County,(303) 387-8400,PK,05,No,No,No,No,483,28.5,16.9,18.6,2.3,0,2.7,16.6,0.4,6.8,71.2,75.2,65.1,311,116,4
196,Kendrick Lakes Elementary School,https://www.schooldigger.com/go/CO/schools/0480000743/school.aspx,"""0480000743""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",1350 South Hoyt Street,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80232,Jefferson County,(303) 982-8324,PK,05,No,No,No,No,393,22.9,17.1,32.8,2.5,1,3.3,26.5,0,2.5,64.1,74.8,81.9,146,-50,4
197,Moody Elementary School,https://www.schooldigger.com/go/CO/schools/0531000890/school.aspx,"""0531000890""",Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,"""05310""",6390 South Windermere Street,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80120,Arapahoe County,(303) 347-4600,PK,05,No,No,No,No,356,19.8,17.9,23.6,1.4,0.3,1.7,16.6,0,5.1,75,74.8,63.6,325,128,4
198,Ranch Creek Elementary,https://www.schooldigger.com/go/CO/schools/0192006336/school.aspx,"""0192006336""",Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,"""01920""",9155 Tutt Boulevard,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80924,El Paso County,(719) 234-5500,PK,05,No,No,No,No,559,31.8,17.5,10.6,3.6,0.2,2.9,17.9,0.5,8.9,66,74.8,86.2,105,-93,4
199,Twain Elementary School,https://www.schooldigger.com/go/CO/schools/0531000891/school.aspx,"""0531000891""",Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,"""05310""",6901 South Franklin Street,Centennial,https://www.schooldigger.com/go/CO/city/Centennial/search.aspx,80122,Arapahoe County,(303) 347-4700,KG,05,No,No,No,No,287,17.9,16,14.6,1.4,0,3.5,9.8,0,9.1,76.3,74.7,60.9,355,156,4
200,Trailblazer Elementary School,https://www.schooldigger.com/go/CO/schools/0345001585/school.aspx,"""0345001585""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",9760 South Hackberry,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80126,Douglas County,(303) 387-6250,PK,06,No,No,No,No,413,26.3,15.7,8.5,1.7,0.2,2.4,11.6,0,3.9,80.1,74.5,68.8,268,68,4
201,Prospect Ridge Academy,https://www.schooldigger.com/go/CO/schools/0690006507/school.aspx,"""0690006507""",Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,"""06900""",2555 Preble Creek Pkwy,Broomfield,https://www.schooldigger.com/go/CO/city/Broomfield/search.aspx,80023,Broomfield County,(720) 399-0300,KG,12,No,Yes,No,No,1392,74.9,18.5,2,0.4,0.3,8.1,10.5,0.1,4.9,75.7,74.5,83,131,-70,4
202,Frontier Valley Elementary School,https://www.schooldigger.com/go/CO/schools/0345001875/school.aspx,"""0345001875""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",23919 East Canterberry Trail,Parker,https://www.schooldigger.com/go/CO/city/Parker/search.aspx,80138,Douglas County,(303) 387-8475,PK,05,No,No,No,No,488,29.8,16.3,6.8,1.2,0.2,0.8,12.1,0.2,6.6,78.9,74.5,49.7,451,249,4
203,Addenbrooke Classical Grammar School,https://www.schooldigger.com/go/CO/schools/0480006643/school.aspx,"""0480006643""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",7114 West Jefferson Avenue,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80235,Jefferson County,(303) 986-5791,PK,05,No,Yes,No,No,449,23,19.4,9.8,1.3,0.2,1.6,21.8,0,3.6,71.5,74.4,54.4,407,204,4
204,Asbury Elementary School,https://www.schooldigger.com/go/CO/schools/0336000307/school.aspx,"""0336000307""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",1320 East Asbury Avenue,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80210,Denver County,(720) 424-9750,KG,05,No,No,No,No,333,23,14.4,29.1,2.7,0.3,1.5,23.4,0.3,4.8,67,74.3,80.4,160,-44,4
205,James Irwin Charter Elementary School,https://www.schooldigger.com/go/CO/schools/0453001902/school.aspx,"""0453001902""",Harrison School District No. 2,https://www.schooldigger.com/go/CO/district/04530/search.aspx,"""04530""",1626 S Murray Boulevard,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80916,El Paso County,(719) 302-9000,KG,05,No,Yes,No,No,535,20.1,26.6,44.1,7.9,0.7,0.9,48.8,0.6,6.4,34.8,74.3,75.6,198,-7,4
206,Southmoor Elementary School,https://www.schooldigger.com/go/CO/schools/0336001679/school.aspx,"""0336001679""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",3755 South Magnolia Way,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80237,Denver County,(720) 424-3930,PK,05,No,No,No,No,441,26.8,16.4,31.1,9.3,0.2,2.7,17,0.7,5.4,64.6,74.1,85.6,111,-95,4
207,Stony Creek Elementary School,https://www.schooldigger.com/go/CO/schools/0480001385/school.aspx,"""0480001385""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",7203 South Everett,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80128,Jefferson County,(303) 982-4120,PK,05,No,No,No,No,404,23.8,16.9,36.6,1.2,0.2,5.2,15.6,0,4.5,73.3,73.9,50.7,440,233,4
208,Franklin Elementary School,https://www.schooldigger.com/go/CO/schools/0531000878/school.aspx,"""0531000878""",Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,"""05310""",1603 East Euclid Ave,Centennial,https://www.schooldigger.com/go/CO/city/Centennial/search.aspx,80121,Arapahoe County,(303) 347-4500,KG,05,No,No,No,No,579,34.5,16.7,7.4,0.7,0.2,2.2,10.2,0.3,4.7,81.7,73.9,87.9,93,-115,4
209,Dry Creek Elementary School,https://www.schooldigger.com/go/CO/schools/0291000190/school.aspx,"""0291000190""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",7686 East Hinsdale Avenue,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80112,Arapahoe County,(720) 554-3300,PK,05,No,No,No,No,406,23.1,17.5,13.8,4.4,0.2,9.1,15.5,0.2,8.6,61.8,73.9,73.5,223,14,4
210,Clear Sky Elementary,https://www.schooldigger.com/go/CO/schools/0345006392/school.aspx,"""0345006392""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",1470 Clear Sky Way,Castle Rock,https://www.schooldigger.com/go/CO/city/Castle+Rock/search.aspx,80109,Douglas County,(303) 387-5900,PK,06,No,No,No,No,744,41,18.1,16.9,1.7,0.1,1.7,16.8,0,6.7,72.8,73.8,62.6,334,124,4
211,Birch Elementary School,https://www.schooldigger.com/go/CO/schools/0249000100/school.aspx,"""0249000100""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",1035 Birch,Broomfield,https://www.schooldigger.com/go/CO/city/Broomfield/search.aspx,80020,Broomfield County,(720) 561-8800,PK,05,No,No,No,No,396,24.9,15.8,28.8,0.8,0,6.1,25.5,0,2.5,65.2,73.6,74.9,204,-7,4
212,The Da Vinci Academy School,https://www.schooldigger.com/go/CO/schools/0192001842/school.aspx,"""0192001842""",Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,"""01920""",1335 Bridle Oak Lane,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80921,El Paso County,(719) 234-5400,PK,05,No,No,Yes,No,462,31.9,14.4,14.1,2.6,1.1,12.8,14.5,0.2,9.7,59.1,73.5,72.8,232,20,4
213,Mount View Core Knowledge Charter School,https://www.schooldigger.com/go/CO/schools/0279001538/school.aspx,"""0279001538""",Fremont Re-1,https://www.schooldigger.com/go/CO/district/02790/search.aspx,"""02790""",809 Field Avenue,Canon City,https://www.schooldigger.com/go/CO/city/Canon+City/search.aspx,81212,Fremont County,(719) 275-1980,PK,08,No,Yes,No,No,252,13.5,18.6,33.7,0.8,0,1.2,11.5,0,3.6,82.9,73.5,67.3,289,76,4
214,Shepardson Elementary School,https://www.schooldigger.com/go/CO/schools/0399001280/school.aspx,"""0399001280""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",1501 Springwood Drive,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 488-4525,PK,05,No,No,No,No,426,26.2,16.2,20.7,1.2,0.5,1.2,8.7,0,2.1,86.4,72.3,77,188,-26,3
215,Aspen View Academy,https://www.schooldigger.com/go/CO/schools/0345006588/school.aspx,"""0345006588""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",2131 Low Meadow Blvd,Castle Rock,https://www.schooldigger.com/go/CO/city/Castle+Rock/search.aspx,80109,Douglas County,(720) 733-3436,PK,08,No,Yes,No,No,904,53,17,5.6,0.2,0.3,1.5,10.8,0,5,82.1,72,60.8,358,143,3
216,Golden View Classical Academy,https://www.schooldigger.com/go/CO/schools/0002006639/school.aspx,"""0002006639""",State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,"""00020""",601 Corporate Circle,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80401,Jefferson County,(720) 598-6700,KG,12,No,Yes,No,No,678,37.4,18.1,4.7,0.7,0.6,4.4,9,0.1,4,81.1,71.9,70.5,252,36,3
217,Woodmen-Roberts Elementary School,https://www.schooldigger.com/go/CO/schools/0192000008/school.aspx,"""0192000008""",Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,"""01920""",8365 Orchard Path Road,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80919,El Paso County,(719) 234-5300,PK,05,No,No,No,No,479,29.5,16.2,9.6,3.1,0.8,2.3,12.9,0,6.7,74.1,71.8,86.9,99,-118,3
218,Peabody Elementary School,https://www.schooldigger.com/go/CO/schools/0531000887/school.aspx,"""0531000887""",Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,"""05310""",3128 East Maplewood Avenue,Centennial,https://www.schooldigger.com/go/CO/city/Centennial/search.aspx,80121,Arapahoe County,(303) 347-4625,PK,05,No,No,No,No,379,23,16.4,10.8,1.1,0,2.4,10,0.3,5.8,80.5,71.6,83.9,126,-92,3
219,Martin Luther King Junior Elementary School,https://www.schooldigger.com/go/CO/schools/0648001121/school.aspx,"""0648001121""",School District No. 3,https://www.schooldigger.com/go/CO/district/06480/search.aspx,"""06480""",6910 Defoe Avenue,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80911,El Paso County,(719) 391-3455,KG,05,Yes,No,No,No,467,28.3,16.4,49,7.7,0.4,0.2,30.6,0.6,11.3,49,71.2,81,155,-64,3
220,O'Dea Elementary School,https://www.schooldigger.com/go/CO/schools/0399000539/school.aspx,"""0399000539""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",312 Princeton Road,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 488-4450,KG,05,No,No,No,No,469,32.9,14.2,46.7,1.5,1.3,2.6,17.5,0,1.9,75.3,70.6,69.4,263,43,3
221,Colorado STEM Academy,https://www.schooldigger.com/go/CO/schools/0723006567/school.aspx,"""0723006567""",Westminster Public Schools,https://www.schooldigger.com/go/CO/district/07230/search.aspx,"""07230""",7281 Irving Street,Westminster,https://www.schooldigger.com/go/CO/city/Westminster/search.aspx,80030,Adams County,(303) 429-7836,PK,08,No,No,Yes,No,418,23.3,17.9,47.1,1.2,1,4.5,51.2,0.2,4.8,37.1,70.4,67.9,279,58,3
222,Centennial Elementary School,https://www.schooldigger.com/go/CO/schools/0540000931/school.aspx,"""0540000931""",Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,"""05400""",1555 West 37th Street,Loveland,https://www.schooldigger.com/go/CO/city/Loveland/search.aspx,80538,Larimer County,(970) 613-5800,KG,05,No,No,No,No,439,25.6,17.1,31,1.1,0.2,0.2,15.3,0.5,5,77.7,70.2,62.4,338,116,3
223,Academy for Advanced and Creative Learning,https://www.schooldigger.com/go/CO/schools/0306006456/school.aspx,"""0306006456""",Colorado Springs School District No. 11,https://www.schooldigger.com/go/CO/district/03060/search.aspx,"""03060""",2510 North Chestnut Street,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80907,El Paso County,(719) 434-6566,KG,08,No,Yes,No,No,293,21,13.9,15,1,1,0.3,14.7,0.3,7.8,74.7,70.2,80.1,165,-58,3
224,Aspen Ridge Preparatory School,https://www.schooldigger.com/go/CO/schools/0537006530/school.aspx,"""0537006530""",St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,"""05370""",705 Austin Avenue,Erie,https://www.schooldigger.com/go/CO/city/Erie/search.aspx,80516,Weld County,(720) 242-6225,KG,08,No,Yes,No,No,439,23.1,18.9,6.6,0.5,0,6.8,9.6,0,4.3,78.8,70,46.2,484,260,3
225,Pine Ridge Elementary School,https://www.schooldigger.com/go/CO/schools/0291006452/school.aspx,"""0291006452""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",6525 S. Wheatlands Parkway,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80016,Arapahoe County,(720) 886-8800,PK,05,No,No,No,No,771,47.7,16.1,7.8,5.6,0.1,10.1,13.7,0.1,6.7,63.6,69.9,80.6,159,-66,3
226,Lopez Elementary School,https://www.schooldigger.com/go/CO/schools/0399001409/school.aspx,"""0399001409""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",637 Wabash Street,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80526,Larimer County,(970) 488-8800,PK,05,No,No,No,No,427,25.3,16.8,39.1,2.1,0.2,1.4,21.5,0.2,4.4,70,69.5,76.3,193,-33,3
227,Renaissance Expedition Learn Outward Bound School,https://www.schooldigger.com/go/CO/schools/0345001288/school.aspx,"""0345001288""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",3960 Trailboss Lane,Castle Rock,https://www.schooldigger.com/go/CO/city/Castle+Rock/search.aspx,80104,Douglas County,(303) 387-8000,KG,06,No,No,Yes,No,395,21.8,18.1,4.6,1.5,0,1.8,8.9,0,5.8,82,69.4,79.4,171,-56,3
228,Deer Creek Elementary School,https://www.schooldigger.com/go/CO/schools/0237000086/school.aspx,"""0237000086""",Platte Canyon School District No. 1,https://www.schooldigger.com/go/CO/district/02370/search.aspx,"""02370""",1737 Cr 43,Bailey,https://www.schooldigger.com/go/CO/city/Bailey/search.aspx,80421,Park County,(303) 838-7666,PK,05,Yes,No,No,No,451,25.7,17.4,17.5,0.4,0.9,0.2,10.2,0,5.3,82.9,69.3,39.2,548,320,3
229,Ivy Stockwell Elementary School,https://www.schooldigger.com/go/CO/schools/0540000933/school.aspx,"""0540000933""",Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,"""05400""",175 Fifth Street,Berthoud,https://www.schooldigger.com/go/CO/city/Berthoud/search.aspx,80513,Larimer County,(970) 613-6100,KG,05,No,No,No,No,407,22.3,18.1,25.3,0.5,0,0.7,10.6,0.2,2.7,85.3,69.3,82.2,144,-85,3
230,Canon Exploratory School,https://www.schooldigger.com/go/CO/schools/0279001433/school.aspx,"""0279001433""",Fremont Re-1,https://www.schooldigger.com/go/CO/district/02790/search.aspx,"""02790""",2855 North 9th Street,Canon City,https://www.schooldigger.com/go/CO/city/Canon+City/search.aspx,81212,Fremont County,(719) 276-6050,KG,08,Yes,No,No,No,352,21.8,16,48,0,0.3,0.3,14.5,0.3,5.4,79.3,69.2,53.3,419,189,3
231,Brown International Academy,https://www.schooldigger.com/go/CO/schools/0336000319/school.aspx,"""0336000319""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",2550 Lowell Blvd,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80211,Denver County,(720) 424-9250,PK,05,No,No,No,No,636,39.1,16.2,31.3,4.1,1.6,2.5,27,0.2,4.1,60.5,69.1,64.3,318,87,3
232,Coyote Creek Elementary School,https://www.schooldigger.com/go/CO/schools/0345001250/school.aspx,"""0345001250""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",2861 Baneberry Court,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80129,Douglas County,(303) 387-6175,PK,06,No,No,No,No,408,23.3,17.5,7.8,2.2,0.2,2.7,13.5,0,6.6,74.8,69.1,90.2,68,-164,3
233,Larkspur Elementary School,https://www.schooldigger.com/go/CO/schools/0345000441/school.aspx,"""0345000441""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",1103 West Perry Park Avenue,Larkspur,https://www.schooldigger.com/go/CO/city/Larkspur/search.aspx,80118,Douglas County,(303) 387-5375,KG,06,No,No,No,No,237,16,14.8,13.1,0,0,0.4,10.1,0,3.4,86.1,69,62.5,336,103,3
234,Prairie Hills Elementary School,https://www.schooldigger.com/go/CO/schools/0690001945/school.aspx,"""0690001945""",Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,"""06900""",13801 Garfield Place,Thornton,https://www.schooldigger.com/go/CO/city/Thornton/search.aspx,80602,Adams County,(720) 972-8780,KG,05,No,No,No,No,495,23.1,21.4,12.5,1,0.4,7.1,16,0.2,4.8,70.5,68.7,74.8,206,-28,3
235,Highline Academy Southeast,https://www.schooldigger.com/go/CO/schools/0336001835/school.aspx,"""0336001835""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",2170 South Dahlia Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80222,Denver County,(303) 759-7808,KG,08,No,Yes,No,No,520,44.8,11.5,43.1,22.3,0.6,4.2,21.9,0,3.7,47.3,68.6,74.5,210,-25,3
236,Jordahl Elementary School,https://www.schooldigger.com/go/CO/schools/0408001481/school.aspx,"""0408001481""",Fountain School District No. 8,https://www.schooldigger.com/go/CO/district/04080/search.aspx,"""04080""",800 Progress Drive,Fountain,https://www.schooldigger.com/go/CO/city/Fountain/search.aspx,80817,El Paso County,(719) 382-1400,KG,05,No,No,No,No,601,32.4,18.5,43.6,6.8,1.5,0.8,24,1.8,11,54.1,68.3,37.8,565,329,3
237,Edith Wolford Elementary School,https://www.schooldigger.com/go/CO/schools/0192000004/school.aspx,"""0192000004""",Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,"""01920""",13710 Black Forest Road,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80908,El Paso County,(719) 234-4300,PK,05,No,No,No,No,378,24.1,15.6,10.8,0.5,0,0.5,14.8,0,4.5,79.6,68,65,313,76,3
238,Shelton Elementary School,https://www.schooldigger.com/go/CO/schools/0480001044/school.aspx,"""0480001044""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",420 Crawford Street,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80401,Jefferson County,(303) 982-5686,PK,05,No,No,No,No,476,29.5,16.1,43.7,2.7,0.4,3.6,21.2,0,3.6,68.5,68,66.3,300,62,3
239,Leawood Elementary School,https://www.schooldigger.com/go/CO/schools/0480000750/school.aspx,"""0480000750""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",6155 West Leawood Drive,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80123,Jefferson County,(303) 982-7860,PK,06,No,No,No,No,363,23,15.7,33.6,1.1,0.3,4.1,17.9,0,5.2,71.3,67.7,69.7,262,23,3
240,Coyote Ridge Elementary School,https://www.schooldigger.com/go/CO/schools/0540006406/school.aspx,"""0540006406""",Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,"""05400""",7115 Avondale Road,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 679-9400,KG,05,No,No,No,No,362,22.8,15.8,20.4,1.1,0,0.6,13,0,5,80.4,67.7,73.4,226,-14,3
